,iso2,year,age,cases,sex
16040,SA,2006,25-34,323,m
16041,SA,2007,25-34,312,m
16042,SA,2008,25-34,334,m
16058,SB,1995,25-34,6,m
16059,SB,1996,25-34,9,m
16060,SB,1997,25-34,8,m
16061,SB,1998,25-34,9,m
16063,SB,2000,25-34,4,m
16065,SB,2002,25-34,12,m
16066,SB,2003,25-34,9,m
16067,SB,2004,25-34,12,m
16068,SB,2005,25-34,18,m
16069,SB,2006,25-34,11,m
16070,SB,2007,25-34,16,m
16071,SB,2008,25-34,12,m
16085,SC,1995,25-34,0,m
16086,SC,1996,25-34,1,m
16087,SC,1997,25-34,2,m
16088,SC,1998,25-34,1,m
16090,SC,2000,25-34,2,m
16091,SC,2001,25-34,2,m
16092,SC,2002,25-34,3,m
16093,SC,2003,25-34,0,m
16094,SC,2004,25-34,2,m
16095,SC,2005,25-34,1,m
16098,SC,2008,25-34,1,m
16111,SD,1995,25-34,796,m
16114,SD,1998,25-34,1533,m
16115,SD,1999,25-34,1456,m
16116,SD,2000,25-34,1511,m
16117,SD,2001,25-34,1368,m
16118,SD,2002,25-34,1494,m
16119,SD,2003,25-34,1644,m
16120,SD,2004,25-34,1791,m
16121,SD,2005,25-34,1990,m
16122,SD,2006,25-34,1890,m
16123,SD,2007,25-34,1903,m
16124,SD,2008,25-34,1740,m
16140,SE,1995,25-34,12,m
16141,SE,1996,25-34,8,m
16142,SE,1997,25-34,9,m
16143,SE,1998,25-34,9,m
16144,SE,1999,25-34,18,m
16145,SE,2000,25-34,10,m
16146,SE,2001,25-34,15,m
16147,SE,2002,25-34,15,m
16148,SE,2003,25-34,14,m
16149,SE,2004,25-34,19,m
16150,SE,2005,25-34,21,m
16151,SE,2006,25-34,15,m
16152,SE,2007,25-34,20,m
16153,SE,2008,25-34,15,m
16169,SG,1995,25-34,40,m
16171,SG,1997,25-34,27,m
16172,SG,1998,25-34,36,m
16173,SG,1999,25-34,23,m
16174,SG,2000,25-34,9,m
16175,SG,2001,25-34,19,m
16176,SG,2002,25-34,28,m
16177,SG,2003,25-34,28,m
16178,SG,2004,25-34,32,m
16179,SG,2005,25-34,25,m
16180,SG,2006,25-34,31,m
16181,SG,2007,25-34,18,m
16182,SG,2008,25-34,21,m
16198,SI,1995,25-34,39,m
16199,SI,1996,25-34,27,m
16200,SI,1997,25-34,16,m
16201,SI,1998,25-34,22,m
16202,SI,1999,25-34,21,m
16203,SI,2000,25-34,11,m
16204,SI,2001,25-34,11,m
16205,SI,2002,25-34,11,m
16206,SI,2003,25-34,9,m
16207,SI,2004,25-34,7,m
16208,SI,2005,25-34,10,m
16209,SI,2006,25-34,5,m
16210,SI,2007,25-34,7,m
16211,SI,2008,25-34,12,m
16227,SK,1995,25-34,44,m
16228,SK,1996,25-34,42,m
16229,SK,1997,25-34,24,m
16230,SK,1998,25-34,30,m
16231,SK,1999,25-34,19,m
16232,SK,2000,25-34,15,m
16233,SK,2001,25-34,13,m
16234,SK,2002,25-34,18,m
16235,SK,2003,25-34,8,m
16236,SK,2004,25-34,17,m
16237,SK,2005,25-34,13,m
16238,SK,2006,25-34,11,m
16239,SK,2007,25-34,10,m
16240,SK,2008,25-34,7,m
16255,SL,1995,25-34,305,m
16256,SL,1996,25-34,450,m
16257,SL,1997,25-34,470,m
16258,SL,1998,25-34,445,m
16260,SL,2000,25-34,486,m
16261,SL,2001,25-34,546,m
16262,SL,2002,25-34,561,m
16263,SL,2003,25-34,564,m
16264,SL,2004,25-34,659,m
16265,SL,2005,25-34,792,m
16266,SL,2006,25-34,851,m
16267,SL,2007,25-34,1032,m
16268,SL,2008,25-34,1062,m
16281,SM,2003,25-34,0,m
16282,SM,2004,25-34,0,m
16300,SN,1995,25-34,1219,m
16301,SN,1996,25-34,1281,m
16302,SN,1997,25-34,1151,m
16303,SN,1998,25-34,1208,m
16304,SN,1999,25-34,1070,m
16305,SN,2000,25-34,1297,m
16306,SN,2001,25-34,1331,m
16307,SN,2002,25-34,1271,m
16308,SN,2003,25-34,1438,m
16309,SN,2004,25-34,1464,m
16310,SN,2005,25-34,1561,m
16311,SN,2006,25-34,1606,m
16312,SN,2007,25-34,1722,m
16313,SN,2008,25-34,1767,m
16322,SO,1995,25-34,730,m
16323,SO,1996,25-34,557,m
16324,SO,1997,25-34,658,m
16325,SO,1998,25-34,599,m
16326,SO,1999,25-34,678,m
16327,SO,2000,25-34,724,m
16328,SO,2001,25-34,880,m
16329,SO,2002,25-34,821,m
16330,SO,2003,25-34,850,m
16331,SO,2004,25-34,1059,m
16332,SO,2005,25-34,1114,m
16333,SO,2006,25-34,1121,m
16334,SO,2007,25-34,1008,m
16335,SO,2008,25-34,1067,m
16352,SR,1996,25-34,11,m
16353,SR,1997,25-34,7,m
16356,SR,2000,25-34,6,m
16357,SR,2001,25-34,7,m
16358,SR,2002,25-34,12,m
16359,SR,2003,25-34,1,m
16360,SR,2004,25-34,8,m
16361,SR,2005,25-34,8,m
16362,SR,2006,25-34,13,m
16380,ST,2000,25-34,11,m
16381,ST,2001,25-34,14,m
16382,ST,2002,25-34,6,m
16383,ST,2003,25-34,4,m
16384,ST,2004,25-34,7,m
16385,ST,2005,25-34,7,m
16386,ST,2006,25-34,8,m
16387,ST,2007,25-34,12,m
16388,ST,2008,25-34,13,m
16405,SV,1996,25-34,76,m
16406,SV,1997,25-34,110,m
16407,SV,1998,25-34,131,m
16408,SV,1999,25-34,128,m
16409,SV,2000,25-34,124,m
16410,SV,2001,25-34,144,m
16411,SV,2002,25-34,127,m
16412,SV,2003,25-34,105,m
16413,SV,2004,25-34,121,m
16414,SV,2005,25-34,140,m
16415,SV,2006,25-34,124,m
16416,SV,2007,25-34,179,m
16417,SV,2008,25-34,168,m
16432,SY,1995,25-34,255,m
16433,SY,1996,25-34,290,m
16434,SY,1997,25-34,295,m
16435,SY,1998,25-34,293,m
16437,SY,2000,25-34,289,m
16438,SY,2001,25-34,248,m
16439,SY,2002,25-34,278,m
16440,SY,2003,25-34,279,m
16441,SY,2004,25-34,308,m
16442,SY,2005,25-34,237,m
16443,SY,2006,25-34,267,m
16444,SY,2007,25-34,222,m
16445,SY,2008,25-34,212,m
16454,SZ,1995,25-34,117,m
16455,SZ,1996,25-34,250,m
16459,SZ,2000,25-34,352,m
16460,SZ,2001,25-34,468,m
16461,SZ,2002,25-34,244,m
16462,SZ,2003,25-34,298,m
16463,SZ,2004,25-34,316,m
16464,SZ,2005,25-34,406,m
16465,SZ,2006,25-34,452,m
16466,SZ,2007,25-34,479,m
16467,SZ,2008,25-34,552,m
16485,TC,2003,25-34,2,m
16487,TC,2006,25-34,1,m
16509,TD,1999,25-34,414,m
16510,TD,2002,25-34,1029,m
16511,TD,2003,25-34,428,m
16512,TD,2004,25-34,466,m
16513,TD,2005,25-34,535,m
16532,TG,1995,25-34,151,m
16533,TG,1996,25-34,153,m
16535,TG,1998,25-34,177,m
16536,TG,1999,25-34,169,m
16537,TG,2000,25-34,168,m
16539,TG,2002,25-34,239,m
16540,TG,2003,25-34,229,m
16541,TG,2004,25-34,286,m
16542,TG,2005,25-34,320,m
16543,TG,2006,25-34,358,m
16544,TG,2007,25-34,309,m
16545,TG,2008,25-34,379,m
16561,TH,1995,25-34,2936,m
16562,TH,1996,25-34,2857,m
16563,TH,1997,25-34,2336,m
16564,TH,1998,25-34,1153,m
16565,TH,1999,25-34,2123,m
16566,TH,2000,25-34,2570,m
16567,TH,2001,25-34,5192,m
16568,TH,2002,25-34,3805,m
16569,TH,2003,25-34,4615,m
16570,TH,2004,25-34,4211,m
16571,TH,2005,25-34,3814,m
16572,TH,2006,25-34,3732,m
16573,TH,2007,25-34,3398,m
16574,TH,2008,25-34,3374,m
16591,TJ,1996,25-34,25,m
16592,TJ,1997,25-34,38,m
16593,TJ,1998,25-34,90,m
16596,TJ,2001,25-34,152,m
16597,TJ,2002,25-34,133,m
16599,TJ,2004,25-34,90,m
16600,TJ,2005,25-34,279,m
16602,TJ,2007,25-34,361,m
16603,TJ,2008,25-34,358,m
16628,TK,2007,25-34,0,m
16629,TK,2008,25-34,10,m
16631,TL,2002,25-34,145,m
16632,TL,2003,25-34,135,m
16633,TL,2004,25-34,134,m
16634,TL,2005,25-34,149,m
16635,TL,2006,25-34,115,m
16636,TL,2007,25-34,129,m
16637,TL,2008,25-34,88,m
16652,TM,1995,25-34,188,m
16653,TM,1996,25-34,114,m
16654,TM,1997,25-34,208,m
16655,TM,1998,25-34,210,m
16656,TM,1999,25-34,225,m
16657,TM,2000,25-34,185,m
16658,TM,2001,25-34,295,m
16659,TM,2002,25-34,249,m
16660,TM,2003,25-34,265,m
16661,TM,2004,25-34,250,m
16662,TM,2005,25-34,181,m
16663,TM,2006,25-34,273,m
16664,TM,2007,25-34,272,m
16665,TM,2008,25-34,235,m
16684,TN,1998,25-34,206,m
16685,TN,1999,25-34,221,m
16686,TN,2000,25-34,208,m
16687,TN,2001,25-34,185,m
16688,TN,2002,25-34,184,m
16689,TN,2003,25-34,164,m
16690,TN,2004,25-34,181,m
16691,TN,2005,25-34,172,m
16692,TN,2006,25-34,174,m
16693,TN,2007,25-34,171,m
16694,TN,2008,25-34,188,m
16710,TO,1995,25-34,0,m
16711,TO,1996,25-34,1,m
16712,TO,1997,25-34,1,m
16713,TO,1998,25-34,3,m
16714,TO,1999,25-34,0,m
16715,TO,2000,25-34,1,m
16716,TO,2001,25-34,1,m
16718,TO,2003,25-34,1,m
16720,TO,2005,25-34,1,m
16721,TO,2006,25-34,0,m
16722,TO,2007,25-34,1,m
16723,TO,2008,25-34,0,m
16746,TR,2004,25-34,38,m
16747,TR,2005,25-34,1295,m
16748,TR,2006,25-34,1391,m
16749,TR,2007,25-34,1245,m
16750,TR,2008,25-34,1090,m
16766,TT,1995,25-34,15,m
16767,TT,1996,25-34,7,m
16769,TT,1998,25-34,12,m
16770,TT,1999,25-34,18,m
16771,TT,2000,25-34,18,m
16772,TT,2001,25-34,21,m
16773,TT,2002,25-34,13,m
16774,TT,2003,25-34,13,m
16775,TT,2004,25-34,10,m
16776,TT,2005,25-34,11,m
16777,TT,2006,25-34,27,m
16778,TT,2007,25-34,16,m
16779,TT,2008,25-34,15,m
16795,TV,1995,25-34,1,m
16797,TV,1998,25-34,3,m
16802,TV,2003,25-34,0,m
16805,TV,2006,25-34,0,m
16806,TV,2007,25-34,0,m
16807,TV,2008,25-34,1,m
16823,TZ,1995,25-34,4091,m
16824,TZ,1996,25-34,4275,m
16825,TZ,1997,25-34,4538,m
16826,TZ,1998,25-34,4910,m
16827,TZ,1999,25-34,4887,m
16828,TZ,2000,25-34,4836,m
16829,TZ,2001,25-34,4912,m
16830,TZ,2002,25-34,4814,m
16831,TZ,2003,25-34,4964,m
16832,TZ,2004,25-34,5203,m
16833,TZ,2005,25-34,4939,m
16834,TZ,2006,25-34,4926,m
16835,TZ,2007,25-34,4665,m
16836,TZ,2008,25-34,4595,m
16852,UA,1995,25-34,1076,m
16853,UA,1996,25-34,1199,m
16854,UA,1997,25-34,1310,m
16855,UA,1998,25-34,1500,m
16856,UA,1999,25-34,1463,m
16857,UA,2000,25-34,1552,m
16858,UA,2001,25-34,1721,m
16860,UA,2003,25-34,2033,m
16863,UA,2006,25-34,2522,m
16864,UA,2007,25-34,4507,m
16865,UA,2008,25-34,2696,m
16879,UG,1995,25-34,2491,m
16880,UG,1996,25-34,2706,m
16881,UG,1997,25-34,3278,m
16882,UG,1998,25-34,3672,m
16883,UG,1999,25-34,3475,m
16884,UG,2000,25-34,3497,m
16885,UG,2001,25-34,3483,m
16886,UG,2002,25-34,3783,m
16887,UG,2003,25-34,4142,m
16888,UG,2004,25-34,4222,m
16889,UG,2005,25-34,4075,m
16890,UG,2006,25-34,4084,m
16891,UG,2007,25-34,4406,m
16892,UG,2008,25-34,4697,m
16908,US,1995,25-34,876,m
16909,US,1996,25-34,815,m
16910,US,1997,25-34,701,m
16911,US,1998,25-34,663,m
16912,US,1999,25-34,616,m
16913,US,2000,25-34,602,m
16914,US,2001,25-34,613,m
16915,US,2002,25-34,562,m
16916,US,2003,25-34,526,m
16917,US,2004,25-34,547,m
16918,US,2005,25-34,535,m
16919,US,2006,25-34,568,m
16920,US,2007,25-34,490,m
16921,US,2008,25-34,513,m
16937,UY,1995,25-34,40,m
16938,UY,1996,25-34,43,m
16939,UY,1997,25-34,44,m
16940,UY,1998,25-34,47,m
16941,UY,1999,25-34,48,m
16942,UY,2000,25-34,48,m
16943,UY,2001,25-34,38,m
16944,UY,2002,25-34,33,m
16945,UY,2003,25-34,50,m
16946,UY,2004,25-34,59,m
16947,UY,2005,25-34,48,m
16948,UY,2006,25-34,53,m
16949,UY,2007,25-34,69,m
16950,UY,2008,25-34,71,m
16966,UZ,1996,25-34,1042,m
16968,UZ,1998,25-34,5,m
16969,UZ,1999,25-34,926,m
16970,UZ,2000,25-34,749,m
16971,UZ,2001,25-34,905,m
16972,UZ,2002,25-34,481,m
16973,UZ,2003,25-34,828,m
16974,UZ,2004,25-34,835,m
16975,UZ,2005,25-34,831,m
16976,UZ,2006,25-34,807,m
16977,UZ,2007,25-34,768,m
16978,UZ,2008,25-34,688,m
16997,VC,1998,25-34,2,m
16999,VC,2000,25-34,0,m
17004,VC,2005,25-34,0,m
17006,VC,2007,25-34,1,m
17027,VE,1999,25-34,452,m
17030,VE,2002,25-34,429,m
17031,VE,2003,25-34,459,m
17032,VE,2004,25-34,454,m
17033,VE,2005,25-34,395,m
17034,VE,2006,25-34,405,m
17035,VE,2007,25-34,382,m
17036,VE,2008,25-34,358,m
17060,VI,1995,25-34,0,m
17061,VI,1996,25-34,1,m
17081,VN,1996,25-34,5716,m
17082,VN,1997,25-34,6427,m
17083,VN,1998,25-34,6567,m
17084,VN,1999,25-34,6355,m
17085,VN,2000,25-34,6147,m
17086,VN,2001,25-34,6319,m
17087,VN,2002,25-34,6762,m
17088,VN,2003,25-34,7036,m
17089,VN,2004,25-34,7364,m
17090,VN,2005,25-34,7105,m
17091,VN,2006,25-34,7549,m
17092,VN,2007,25-34,7431,m
17093,VN,2008,25-34,7148,m
17109,VU,1995,25-34,2,m
17110,VU,1996,25-34,2,m
17112,VU,1998,25-34,5,m
17113,VU,1999,25-34,4,m
17114,VU,2000,25-34,5,m
17115,VU,2001,25-34,5,m
17116,VU,2002,25-34,2,m
17117,VU,2003,25-34,4,m
17118,VU,2004,25-34,11,m
17119,VU,2005,25-34,5,m
17120,VU,2006,25-34,3,m
17121,VU,2007,25-34,2,m
17122,VU,2008,25-34,4,m
17137,WF,1996,25-34,1,m
17141,WF,2003,25-34,2,m
17145,WF,2007,25-34,0,m
17162,WS,1995,25-34,1,m
17163,WS,1996,25-34,0,m
17164,WS,1997,25-34,4,m
17165,WS,1998,25-34,1,m
17166,WS,1999,25-34,2,m
17167,WS,2000,25-34,1,m
17168,WS,2001,25-34,1,m
17169,WS,2002,25-34,2,m
17172,WS,2005,25-34,0,m
17173,WS,2006,25-34,2,m
17175,WS,2008,25-34,0,m
17183,YE,1995,25-34,605,m
17184,YE,1996,25-34,92,m
17185,YE,1997,25-34,1249,m
17186,YE,1998,25-34,698,m
17187,YE,1999,25-34,531,m
17188,YE,2000,25-34,689,m
17189,YE,2001,25-34,631,m
17190,YE,2002,25-34,559,m
17191,YE,2003,25-34,587,m
17192,YE,2004,25-34,559,m
17193,YE,2005,25-34,553,m
17194,YE,2006,25-34,555,m
17195,YE,2007,25-34,626,m
17196,YE,2008,25-34,541,m
17212,YU,1995,25-34,204,m
17213,YU,1996,25-34,310,m
17214,YU,1997,25-34,310,m
17218,YU,2001,25-34,48,m
17219,YU,2002,25-34,53,m
17220,YU,2003,25-34,64,m
17221,YU,2004,25-34,106,m
17241,ZA,1999,25-34,1697,m
17242,ZA,2000,25-34,1999,m
17243,ZA,2001,25-34,3844,m
17244,ZA,2002,25-34,13681,m
17245,ZA,2003,25-34,20392,m
17246,ZA,2004,25-34,22120,m
17247,ZA,2005,25-34,20576,m
17248,ZA,2006,25-34,21273,m
17249,ZA,2007,25-34,21948,m
17250,ZA,2008,25-34,21706,m
17266,ZM,1995,25-34,1668,m
17269,ZM,2000,25-34,2610,m
17271,ZM,2002,25-34,3051,m
17272,ZM,2003,25-34,4182,m
17273,ZM,2004,25-34,3963,m
17274,ZM,2005,25-34,3166,m
17275,ZM,2006,25-34,3496,m
17276,ZM,2007,25-34,2971,m
17277,ZM,2008,25-34,3244,m
17300,ZW,2002,25-34,2548,m
17301,ZW,2003,25-34,3048,m
17302,ZW,2004,25-34,2908,m
17303,ZW,2005,25-34,2264,m
17304,ZW,2006,25-34,2391,m
17305,ZW,2007,25-34,3693,m
17306,ZW,2008,25-34,0,m
17313,AD,1996,35-44,4,m
17314,AD,1997,35-44,2,m
17315,AD,1998,35-44,1,m
17316,AD,1999,35-44,1,m
17317,AD,2000,35-44,0,m
17318,AD,2001,35-44,2,m
17319,AD,2002,35-44,1,m
17320,AD,2003,35-44,1,m
17321,AD,2004,35-44,1,m
17322,AD,2005,35-44,1,m
17323,AD,2006,35-44,2,m
17325,AD,2008,35-44,0,m
17342,AE,1999,35-44,2,m
17343,AE,2000,35-44,6,m
17345,AE,2002,35-44,6,m
17346,AE,2003,35-44,12,m
17347,AE,2004,35-44,7,m
17349,AE,2006,35-44,7,m
17350,AE,2007,35-44,3,m
17351,AE,2008,35-44,7,m
17364,AF,1997,35-44,3,m
17365,AF,1998,35-44,90,m
17366,AF,1999,35-44,47,m
17367,AF,2000,35-44,149,m
17368,AF,2001,35-44,274,m
17369,AF,2002,35-44,368,m
17370,AF,2003,35-44,284,m
17371,AF,2004,35-44,360,m
17372,AF,2005,35-44,472,m
17373,AF,2006,35-44,574,m
17374,AF,2007,35-44,597,m
17375,AF,2008,35-44,545,m
17390,AG,1996,35-44,0,m
17394,AG,2000,35-44,0,m
17396,AG,2002,35-44,0,m
17397,AG,2003,35-44,0,m
17399,AG,2005,35-44,1,m
17401,AG,2007,35-44,0,m
17421,AI,2004,35-44,0,m
17438,AL,1995,35-44,0,m
17440,AL,1997,35-44,33,m
17441,AL,1998,35-44,24,m
17442,AL,1999,35-44,25,m
17443,AL,2000,35-44,14,m
17444,AL,2001,35-44,17,m
17445,AL,2002,35-44,29,m
17446,AL,2003,35-44,32,m
17447,AL,2004,35-44,21,m
17448,AL,2005,35-44,16,m
17449,AL,2006,35-44,22,m
17450,AL,2007,35-44,16,m
17451,AL,2008,35-44,13,m
17467,AM,1995,35-44,11,m
17468,AM,1996,35-44,51,m
17469,AM,1997,35-44,77,m
17470,AM,1998,35-44,79,m
17471,AM,1999,35-44,115,m
17472,AM,2000,35-44,131,m
17473,AM,2001,35-44,93,m
17474,AM,2002,35-44,109,m
17475,AM,2003,35-44,75,m
17476,AM,2004,35-44,76,m
17477,AM,2005,35-44,83,m
17478,AM,2006,35-44,96,m
17479,AM,2007,35-44,100,m
17480,AM,2008,35-44,74,m
17481,AN,1996,35-44,0,m
17482,AN,1997,35-44,1,m
17483,AN,1998,35-44,0,m
17484,AN,1999,35-44,0,m
17485,AN,2000,35-44,2,m
17486,AN,2001,35-44,5,m
17487,AN,2002,35-44,3,m
17488,AN,2003,35-44,1,m
17489,AN,2004,35-44,4,m
17491,AN,2006,35-44,2,m
17509,AO,1995,35-44,346,m
17510,AO,1996,35-44,1027,m
17511,AO,1997,35-44,819,m
17512,AO,1998,35-44,839,m
17513,AO,1999,35-44,973,m
17514,AO,2000,35-44,912,m
17515,AO,2001,35-44,648,m
17516,AO,2002,35-44,1915,m
17517,AO,2003,35-44,1908,m
17518,AO,2004,35-44,1998,m
17519,AO,2005,35-44,1918,m
17520,AO,2006,35-44,2182,m
17521,AO,2007,35-44,2255,m
17522,AO,2008,35-44,2418,m
17539,AR,1996,35-44,338,m
17540,AR,1997,35-44,523,m
17541,AR,1998,35-44,463,m
17542,AR,1999,35-44,435,m
17543,AR,2000,35-44,402,m
17544,AR,2001,35-44,495,m
17545,AR,2002,35-44,463,m
17546,AR,2003,35-44,413,m
17547,AR,2004,35-44,399,m
17548,AR,2005,35-44,358,m
17549,AR,2006,35-44,360,m
17550,AR,2007,35-44,401,m
17551,AR,2008,35-44,390,m
17569,AS,1997,35-44,1,m
17596,AT,1995,35-44,82,m
17598,AT,1997,35-44,170,m
17600,AT,1999,35-44,54,m
17601,AT,2000,35-44,59,m
17602,AT,2001,35-44,39,m
17603,AT,2002,35-44,32,m
17604,AT,2003,35-44,37,m
17605,AT,2004,35-44,38,m
17606,AT,2005,35-44,22,m
17607,AT,2006,35-44,36,m
17608,AT,2007,35-44,27,m
17627,AU,1997,35-44,18,m
17628,AU,1998,35-44,18,m
17629,AU,1999,35-44,54,m
17630,AU,2000,35-44,25,m
17631,AU,2001,35-44,18,m
17632,AU,2002,35-44,26,m
17633,AU,2003,35-44,2,m
17634,AU,2004,35-44,17,m
17635,AU,2005,35-44,23,m
17636,AU,2006,35-44,23,m
17637,AU,2007,35-44,20,m
17638,AU,2008,35-44,20,m
17654,AZ,1995,35-44,14,m
17655,AZ,1996,35-44,231,m
17656,AZ,1997,35-44,194,m
17657,AZ,1998,35-44,24,m
17658,AZ,1999,35-44,217,m
17659,AZ,2000,35-44,33,m
17661,AZ,2002,35-44,359,m
17662,AZ,2003,35-44,215,m
17663,AZ,2004,35-44,222,m
17664,AZ,2005,35-44,215,m
17665,AZ,2006,35-44,365,m
17683,BA,1995,35-44,90,m
17684,BA,1996,35-44,62,m
17685,BA,1997,35-44,99,m
17686,BA,1998,35-44,85,m
17687,BA,1999,35-44,113,m
17688,BA,2000,35-44,99,m
17689,BA,2001,35-44,110,m
17690,BA,2002,35-44,70,m
17691,BA,2003,35-44,49,m
17692,BA,2004,35-44,95,m
17693,BA,2005,35-44,61,m
17694,BA,2006,35-44,47,m
17695,BA,2007,35-44,0,m
17696,BA,2008,35-44,38,m
17711,BB,1996,35-44,0,m
17715,BB,2000,35-44,2,m
17716,BB,2001,35-44,1,m
17719,BB,2004,35-44,2,m
17722,BB,2007,35-44,0,m
17723,BB,2008,35-44,0,m
17739,BD,1995,35-44,1001,m
17740,BD,1996,35-44,1264,m
17741,BD,1997,35-44,5226,m
17742,BD,1998,35-44,6242,m
17743,BD,1999,35-44,6143,m
17744,BD,2000,35-44,5750,m
17745,BD,2001,35-44,6257,m
17746,BD,2002,35-44,7038,m
17747,BD,2003,35-44,8058,m
17748,BD,2004,35-44,8914,m
17749,BD,2005,35-44,11423,m
17750,BD,2006,35-44,12889,m
17751,BD,2007,35-44,13003,m
17752,BD,2008,35-44,12761,m
17768,BE,1995,35-44,63,m
17769,BE,1996,35-44,49,m
17770,BE,1997,35-44,56,m
17771,BE,1998,35-44,58,m
17772,BE,1999,35-44,49,m
17773,BE,2000,35-44,39,m
17774,BE,2001,35-44,47,m
17775,BE,2002,35-44,52,m
17776,BE,2003,35-44,30,m
17777,BE,2004,35-44,30,m
17778,BE,2005,35-44,32,m
17779,BE,2006,35-44,38,m
17780,BE,2007,35-44,35,m
17781,BE,2008,35-44,43,m
17796,BF,1995,35-44,124,m
17797,BF,1996,35-44,148,m
17798,BF,1997,35-44,148,m
17799,BF,1998,35-44,236,m
17800,BF,1999,35-44,216,m
17801,BF,2000,35-44,252,m
17802,BF,2001,35-44,279,m
17803,BF,2002,35-44,266,m
17804,BF,2003,35-44,321,m
17805,BF,2004,35-44,308,m
17806,BF,2005,35-44,370,m
17807,BF,2006,35-44,433,m
17808,BF,2007,35-44,429,m
17809,BF,2008,35-44,448,m
17830,BG,2000,35-44,20,m
17831,BG,2001,35-44,23,m
17832,BG,2002,35-44,116,m
17833,BG,2003,35-44,178,m
17834,BG,2004,35-44,166,m
17835,BG,2005,35-44,195,m
17836,BG,2006,35-44,170,m
17837,BG,2007,35-44,181,m
17838,BG,2008,35-44,151,m
17853,BH,1995,35-44,2,m
17854,BH,1996,35-44,24,m
17855,BH,1997,35-44,19,m
17856,BH,1998,35-44,36,m
17857,BH,1999,35-44,14,m
17858,BH,2000,35-44,2,m
17859,BH,2001,35-44,2,m
17860,BH,2002,35-44,2,m
17861,BH,2003,35-44,1,m
17862,BH,2004,35-44,2,m
17863,BH,2005,35-44,2,m
17864,BH,2006,35-44,11,m
17865,BH,2007,35-44,15,m
17866,BH,2008,35-44,27,m
17882,BI,1995,35-44,224,m
17883,BI,1996,35-44,274,m
17884,BI,1997,35-44,431,m
17885,BI,1998,35-44,530,m
17886,BI,1999,35-44,492,m
17888,BI,2001,35-44,469,m
17889,BI,2002,35-44,520,m
17890,BI,2003,35-44,488,m
17891,BI,2004,35-44,468,m
17892,BI,2005,35-44,525,m
17893,BI,2006,35-44,488,m
17894,BI,2007,35-44,542,m
17895,BI,2008,35-44,526,m
17911,BJ,1995,35-44,306,m
17912,BJ,1996,35-44,277,m
17913,BJ,1997,35-44,306,m
17914,BJ,1998,35-44,251,m
17915,BJ,1999,35-44,293,m
17916,BJ,2000,35-44,327,m
17918,BJ,2002,35-44,304,m
17919,BJ,2003,35-44,370,m
17920,BJ,2004,35-44,344,m
17921,BJ,2005,35-44,396,m
17922,BJ,2006,35-44,465,m
17924,BJ,2008,35-44,439,m
17947,BM,2004,35-44,0,m
17949,BM,2006,35-44,1,m
17967,BN,1999,35-44,30,m
17968,BN,2000,35-44,15,m
17970,BN,2002,35-44,7,m
17971,BN,2003,35-44,17,m
17972,BN,2004,35-44,12,m
17973,BN,2005,35-44,19,m
17974,BN,2006,35-44,12,m
17975,BN,2007,35-44,15,m
17976,BN,2008,35-44,12,m
17993,BO,1996,35-44,636,m
17994,BO,1997,35-44,579,m
17995,BO,1998,35-44,579,m
17996,BO,1999,35-44,527,m
17997,BO,2000,35-44,518,m
17998,BO,2001,35-44,483,m
17999,BO,2002,35-44,492,m
18000,BO,2003,35-44,501,m
18001,BO,2004,35-44,505,m
18002,BO,2005,35-44,439,m
18003,BO,2006,35-44,471,m
18004,BO,2007,35-44,379,m
18005,BO,2008,35-44,412,m
18024,BR,1999,35-44,5827,m
18025,BR,2000,35-44,11906,m
18026,BR,2001,35-44,5184,m
18027,BR,2002,35-44,6325,m
18028,BR,2003,35-44,6034,m
18029,BR,2004,35-44,6481,m
18030,BR,2005,35-44,6128,m
18031,BR,2006,35-44,6050,m
18032,BR,2007,35-44,5456,m
18033,BR,2008,35-44,5305,m
18049,BS,1995,35-44,7,m
18050,BS,1996,35-44,4,m
18051,BS,1997,35-44,11,m
18052,BS,1998,35-44,7,m
18053,BS,1999,35-44,8,m
18054,BS,2000,35-44,9,m
18056,BS,2002,35-44,7,m
18057,BS,2003,35-44,6,m
18058,BS,2004,35-44,14,m
18060,BS,2007,35-44,9,m
18061,BS,2008,35-44,5,m
18077,BT,1995,35-44,36,m
18078,BT,1996,35-44,43,m
18079,BT,1997,35-44,36,m
18080,BT,1998,35-44,24,m
18081,BT,1999,35-44,31,m
18082,BT,2000,35-44,30,m
18083,BT,2001,35-44,37,m
18084,BT,2002,35-44,32,m
18085,BT,2003,35-44,20,m
18086,BT,2004,35-44,28,m
18087,BT,2005,35-44,26,m
18088,BT,2006,35-44,22,m
18089,BT,2007,35-44,29,m
18090,BT,2008,35-44,12,m
18108,BW,1997,35-44,422,m
18110,BW,1999,35-44,492,m
18111,BW,2000,35-44,488,m
18112,BW,2001,35-44,490,m
18113,BW,2002,35-44,517,m
18114,BW,2003,35-44,446,m
18115,BW,2004,35-44,436,m
18116,BW,2005,35-44,506,m
18117,BW,2006,35-44,490,m
18118,BW,2007,35-44,442,m
18119,BW,2008,35-44,384,m
18142,BY,2002,35-44,217,m
18143,BY,2003,35-44,243,m
18144,BY,2004,35-44,260,m
18145,BY,2005,35-44,273,m
18146,BY,2006,35-44,217,m
18147,BY,2007,35-44,205,m
18148,BY,2008,35-44,207,m
